"","...1","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"23",23,38423,"Paraiso","04/11/2010 09:57","Medio (4 - 8 mts)",190,"Grande",-68.85162391,-32.8694212943,6,"Residencial Norte",2694682.37982,1,"medio"
"24",24,23486,"Morera","24/01/2011 16:18","Alto (> 8 mts)",162,"Grande",-68.8492721523,-32.9032744082,2,"Barrio Civico",2366816.36021,0,"medio"
"25",25,25796,"Olmo comun","02/02/2011 09:40","Alto (> 8 mts)",130,"Grande",-68.8402485409,-32.9041823687,2,"Barrio Civico",2366816.36021,0,"medio"
"26",26,13263,"Catalpa","22/02/2011 11:20","Bajo (2 - 4 mts)",18,"Chico",-68.8471243307,-32.8654002795,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"27",27,22665,"Fresno americano","21/06/2011 10:51","Medio (4 - 8 mts)",120,"Grande",-68.8611178926,-32.9004919142,5,"Residencial Sur",2423808.92355,0,"medio"
"28",28,43265,"Pltano","21/10/2011 19:15","Alto (> 8 mts)",280,"Grande",-68.8351232672,-32.8809548454,1,"Parque Central",1655357.93265,0,"alto"
"29",29,30017,"Pltano","29/04/2011 11:21","Alto (> 8 mts)",98,"Grande",-68.8409813034,-32.8867159491,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"30",30,22436,"Fresno europeo","15/06/2011 09:02","Alto (> 8 mts)",78,"Grande",-68.8595877267,-32.8982931283,5,"Residencial Sur",2423808.92355,0,"bajo"
"31",31,22605,"Fresno europeo","23/06/2011 10:42","Medio (4 - 8 mts)",93,"Grande",-68.8622655215,-32.9004720661,5,"Residencial Sur",2423808.92355,0,"bajo"
"32",32,48291,"Morera","17/08/2011 09:56","Medio (4 - 8 mts)",140,"Grande",-68.8289445335,-32.8680333052,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"medio"
"33",33,29864,"Perenne","14/03/2011 08:46","Alto (> 8 mts)",170,"Grande",-68.8423334511,-32.8923037305,2,"Barrio Civico",2366816.36021,0,"medio"
"34",34,42250,"Fresno europeo","28/04/2011 13:41","Medio (4 - 8 mts)",35,"Mediano",-68.8384627811,-32.8747889355,1,"Parque Central",1655357.93265,0,"bajo"
"35",35,20444,"Morera","17/05/2011 10:26","Alto (> 8 mts)",120,"Grande",-68.8617573075,-32.89267233,5,"Residencial Sur",2423808.92355,0,"medio"
"36",36,15184,"Paraiso","18/11/2011 07:48","Bajo (2 - 4 mts)",73,"Grande",-68.860155017,-32.8692358943,6,"Residencial Norte",2694682.37982,0,"bajo"
"37",37,3918,"Fresno europeo","01/09/2011 07:54","Muy bajo (1 - 2 mts)",12,"Chico",-68.8227282463,-32.8702447436,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"bajo"
"38",38,8484,"Morera","14/02/2011 15:34","Alto (> 8 mts)",118,"Grande",-68.8352625218,-32.8982200962,2,"Barrio Civico",2366816.36021,0,"medio"
"39",39,23103,"Morera","13/01/2011 16:18","Alto (> 8 mts)",88,"Grande",-68.8472586633,-32.9018773897,2,"Barrio Civico",2366816.36021,0,"bajo"
"40",40,6383,"Fresno americano","23/05/2011 10:03","Alto (> 8 mts)",65,"Grande",-68.8510646093,-32.8881811851,5,"Residencial Sur",2423808.92355,0,"bajo"
"41",41,14847,"Morera","19/12/2011 08:03","Bajo (2 - 4 mts)",22,"Mediano",-68.8799207404,-32.8713931859,8,"Aeroparque",2203364.73622,0,"bajo"
"42",42,44629,"Fresno europeo","25/08/2011 13:20","Medio (4 - 8 mts)",128,"Grande",-68.824009516,-32.8668404613,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"medio"
"43",43,36743,"Morera","09/06/2011 13:00","Medio (4 - 8 mts)",120,"Grande",-68.8584380098,-32.8820828407,7,"Residencial Parque",1786336.08966,0,"medio"
"44",44,10015,"Morera","03/11/2010 12:08","Medio (4 - 8 mts)",35,"Mediano",-68.8515402728,-32.8696640963,6,"Residencial Norte",2694682.37982,0,"bajo"
"45",45,34314,"Morera","09/03/2011 09:57","Alto (> 8 mts)",166,"Grande",-68.851960744,-32.8742786697,6,"Residencial Norte",2694682.37982,0,"medio"
"46",46,4620,"Conifera","05/08/2011 09:17","Medio (4 - 8 mts)",18,"Chico",-68.833405445,-32.8646276,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"47",47,13180,"Fresno europeo","21/02/2011 10:57","Bajo (2 - 4 mts)",24,"Mediano",-68.8469948127,-32.8659150802,6,"Residencial Norte",2694682.37982,0,"bajo"
"48",48,1659,"Morera","23/11/2011 08:34","Bajo (2 - 4 mts)",32,"Mediano",-68.8719009826,-32.8783121372,7,"Residencial Parque",1786336.08966,0,"bajo"
"49",49,22345,"Morera","17/06/2011 10:27","Alto (> 8 mts)",140,"Grande",-68.85833755,-32.89914607,5,"Residencial Sur",2423808.92355,1,"medio"
"50",50,37063,"Morera","04/04/2011 13:06","Medio (4 - 8 mts)",130,"Grande",-68.8567306697,-32.8769816671,6,"Residencial Norte",2694682.37982,1,"medio"
"51",51,4615,"Morera","05/08/2011 09:45","Medio (4 - 8 mts)",68,"Grande",-68.8339463916,-32.8645470927,4,"Cuarta Oeste",1173332.70145,1,"bajo"
"52",52,45895,"Paraiso sombrilla","25/08/2011 11:42","Medio (4 - 8 mts)",70,"Grande",-68.8200408957,-32.8702110289,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"bajo"
"53",53,566,"Caducifolio","08/03/2012 11:18","Bajo (2 - 4 mts)",30,"Mediano",-68.8192272188,-32.8686808568,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"bajo"
"54",54,39664,"Morera","22/10/2010 09:26","Alto (> 8 mts)",180,"Grande",-68.8471982333,-32.8686891108,6,"Residencial Norte",2694682.37982,0,"medio"
"55",55,25780,"Morera","02/02/2011 11:41","Alto (> 8 mts)",170,"Grande",-68.8401318481,-32.902875419,2,"Barrio Civico",2366816.36021,0,"medio"
"56",56,23426,"Paraiso","27/01/2011 14:55","Alto (> 8 mts)",92,"Grande",-68.8502084794,-32.9030315362,2,"Barrio Civico",2366816.36021,1,"bajo"
"57",57,42446,"Acacia SP","26/09/2011 10:14","Medio (4 - 8 mts)",52,"Mediano",-68.8322601888,-32.8762633171,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"bajo"
"58",58,6163,"Pltano","18/04/2011 15:31","Medio (4 - 8 mts)",38,"Mediano",-68.8406931671,-32.8850499371,1,"Parque Central",1655357.93265,0,"bajo"
"59",59,12418,"Morera","24/01/2011 09:27","Alto (> 8 mts)",160,"Grande",-68.8484514597,-32.8668681451,6,"Residencial Norte",2694682.37982,0,"medio"
"60",60,6500,"Fresno europeo","09/06/2011 10:28","Alto (> 8 mts)",60,"Mediano",-68.8613260669,-32.887598874,5,"Residencial Sur",2423808.92355,0,"bajo"
"61",61,18390,"Morera","02/08/2011 15:06","Alto (> 8 mts)",115,"Grande",-68.8390446195,-32.8692173778,4,"Cuarta Oeste",1173332.70145,0,"medio"
"62",62,10933,"Perenne","29/03/2011 10:40","Medio (4 - 8 mts)",98,"Grande",-68.8515850827,-32.879789067,6,"Residencial Norte",2694682.37982,0,"bajo"
"63",63,31126,"Paraiso","08/02/2011 08:25","Medio (4 - 8 mts)",120,"Grande",-68.854208867,-32.8640793558,6,"Residencial Norte",2694682.37982,0,"medio"
"64",64,40839,"Pltano","08/04/2011 09:59","Alto (> 8 mts)",98,"Grande",-68.8405526879,-32.8850848736,1,"Parque Central",1655357.93265,0,"bajo"
"65",65,3782,"Morera","23/08/2011 12:47","Medio (4 - 8 mts)",90,"Grande",-68.8190627895,-32.8703512489,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"bajo"
"66",66,34705,"Fresno europeo","01/04/2011 12:07","Alto (> 8 mts)",180,"Grande",-68.8498678694,-32.8772908601,6,"Residencial Norte",2694682.37982,0,"medio"
"67",67,25823,"Morera","03/02/2011 18:09","Medio (4 - 8 mts)",76,"Grande",-68.8402365866,-32.9027297352,2,"Barrio Civico",2366816.36021,0,"bajo"
"68",68,10712,"Morera","30/03/2011 13:24","Medio (4 - 8 mts)",140,"Grande",-68.8478080145,-32.875478385,6,"Residencial Norte",2694682.37982,0,"medio"
"69",69,26005,"Fresno europeo","09/11/2011 18:10","Medio (4 - 8 mts)",60,"Mediano",-68.8381697823,-32.9044168577,2,"Barrio Civico",2366816.36021,0,"bajo"
"70",70,30671,"Fresno europeo","02/02/2011 13:11","Bajo (2 - 4 mts)",30,"Mediano",-68.854827091,-32.8673502428,6,"Residencial Norte",2694682.37982,0,"bajo"
"71",71,2449,"Ailanthus","27/10/2011 08:51","Muy bajo (1 - 2 mts)",15,"Chico",-68.8357330829,-32.8912950084,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"72",72,11531,"Fresno europeo","23/02/2011 09:19","Muy bajo (1 - 2 mts)",5,"Chico",-68.852932226,-32.866133111,6,"Residencial Norte",2694682.37982,0,"bajo"
"73",73,47574,"Morera","19/09/2011 08:16","Alto (> 8 mts)",75,"Grande",-68.8264877671,-32.8720619371,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"bajo"
"74",74,26827,"Morera","09/11/2011 12:00","Alto (> 8 mts)",115,"Grande",-68.8332513505,-32.89404979,3,"Parque O'Higgins",1531146.02653,1,"medio"
"75",75,30213,"Pltano","09/03/2011 08:57","Alto (> 8 mts)",172,"Grande",-68.8419142858,-32.8897155275,2,"Barrio Civico",2366816.36021,0,"medio"
"76",76,7464,"Fresno europeo","17/06/2011 08:05","Medio (4 - 8 mts)",47,"Mediano",-68.8623429029,-32.8997759048,5,"Residencial Sur",2423808.92355,1,"bajo"
"77",77,6354,"Fresno europeo","27/06/2011 10:11","Bajo (2 - 4 mts)",23,"Mediano",-68.854326287,-32.8911253472,5,"Residencial Sur",2423808.92355,0,"bajo"
"78",78,5566,"Morera","14/04/2011 09:23","Alto (> 8 mts)",124,"Grande",-68.8393611871,-32.8809121286,1,"Parque Central",1655357.93265,1,"medio"
"79",79,45280,"Fresno europeo","16/09/2011 10:00","Alto (> 8 mts)",175,"Grande",-68.8244270998,-32.8712693584,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"medio"
"80",80,46846,"Pltano","15/09/2011 13:36","Alto (> 8 mts)",160,"Grande",-68.8344848475,-32.8723984884,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"medio"
"81",81,41338,"Pltano","19/04/2011 11:20","Alto (> 8 mts)",155,"Grande",-68.84017384,-32.8830632467,1,"Parque Central",1655357.93265,0,"medio"
"82",82,25547,"Morera","15/02/2011 19:13","Alto (> 8 mts)",98,"Grande",-68.8383894655,-32.9007944442,2,"Barrio Civico",2366816.36021,0,"bajo"
"83",83,13309,"Morera","25/02/2011 09:17","Alto (> 8 mts)",220,"Grande",-68.8476823168,-32.8654490115,6,"Residencial Norte",2694682.37982,0,"alto"
"84",84,34091,"Fresno europeo","31/05/2011 12:36","Muy bajo (1 - 2 mts)",5,"Chico",-68.8571871692,-32.8837517631,5,"Residencial Sur",2423808.92355,0,"bajo"
"85",85,30569,"Morera","09/02/2011 10:54","Alto (> 8 mts)",160,"Grande",-68.8576062043,-32.8662246599,6,"Residencial Norte",2694682.37982,0,"medio"
"86",86,16401,"Pltano","02/08/2011 10:39","Alto (> 8 mts)",210,"Grande",-68.8356934345,-32.8663248934,4,"Cuarta Oeste",1173332.70145,0,"alto"
"87",87,38546,"Morera","20/12/2010 10:45","Alto (> 8 mts)",150,"Grande",-68.853203122,-32.8716930832,6,"Residencial Norte",2694682.37982,0,"medio"
"88",88,47136,"Pltano","20/09/2011 10:53","Alto (> 8 mts)",179,"Grande",-68.833398424,-32.873316809,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"medio"
"89",89,5112,"Acacia SP","08/08/2011 14:19","Muy bajo (1 - 2 mts)",3,"Chico",-68.8431824586,-32.868553428,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"90",90,10803,"Morera","01/04/2011 12:06","Medio (4 - 8 mts)",30,"Mediano",-68.858038473,-32.8772464374,7,"Residencial Parque",1786336.08966,0,"bajo"
"91",91,32106,"Morera","09/05/2011 11:31","Alto (> 8 mts)",190,"Grande",-68.8591660616,-32.8868850855,5,"Residencial Sur",2423808.92355,0,"medio"
"92",92,48130,"Braquiquito","17/08/2011 11:05","Bajo (2 - 4 mts)",20,"Chico",-68.8301891595,-32.866904449,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"bajo"
"93",93,4441,"Perenne","01/08/2011 08:40","Muy bajo (1 - 2 mts)",100,"Grande",-68.8365941524,-32.8687575748,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"94",94,42607,"Fresno europeo","23/09/2011 09:02","Alto (> 8 mts)",85,"Grande",-68.826404891,-32.8756598498,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"bajo"
"95",95,19974,"Morera","05/08/2011 08:53","Alto (> 8 mts)",180,"Grande",-68.8328399115,-32.8645955929,4,"Cuarta Oeste",1173332.70145,0,"medio"
"96",96,13585,"Liquidambar","28/02/2011 13:04","Bajo (2 - 4 mts)",25,"Mediano",-68.8518847144,-32.8650180706,6,"Residencial Norte",2694682.37982,0,"bajo"
"97",97,10729,"Paraiso sombrilla","06/04/2011 09:41","Bajo (2 - 4 mts)",60,"Mediano",-68.8577091634,-32.8760179095,6,"Residencial Norte",2694682.37982,0,"bajo"
"98",98,26431,"Fresno europeo","09/11/2011 09:35","Bajo (2 - 4 mts)",20,"Chico",-68.8344302701,-32.8917571906,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"99",99,8714,"Olmo comun","10/02/2011 08:38","Alto (> 8 mts)",68,"Grande",-68.837680646,-32.89960206,2,"Barrio Civico",2366816.36021,0,"bajo"
"100",100,22189,"Paraiso","18/05/2011 09:42","Alto (> 8 mts)",152,"Grande",-68.8563237676,-32.8982788175,5,"Residencial Sur",2423808.92355,0,"medio"
"101",101,39653,"Morera","22/10/2010 10:17","Alto (> 8 mts)",140,"Grande",-68.8462228727,-32.8687231719,6,"Residencial Norte",2694682.37982,0,"medio"
"102",102,28525,"Morera","21/02/2011 12:20","Alto (> 8 mts)",124,"Grande",-68.8485960365,-32.8896959494,5,"Residencial Sur",2423808.92355,0,"medio"
"103",103,43204,"Morera","11/11/2011 09:33","Alto (> 8 mts)",210,"Grande",-68.8280940236,-32.8818811582,3,"Parque O'Higgins",1531146.02653,0,"alto"
"104",104,21502,"Pltano","11/05/2011 10:56","Alto (> 8 mts)",180,"Grande",-68.8534147781,-32.8944878521,5,"Residencial Sur",2423808.92355,1,"medio"
"105",105,29538,"Morera","28/02/2011 18:32","Alto (> 8 mts)",210,"Grande",-68.8435601106,-32.8931883874,2,"Barrio Civico",2366816.36021,0,"alto"
"106",106,31645,"Fresno europeo","14/06/2011 14:25","Alto (> 8 mts)",108,"Grande",-68.8575556119,-32.8890375103,5,"Residencial Sur",2423808.92355,0,"medio"
"107",107,2106,"Fresno europeo","18/10/2011 11:34","Medio (4 - 8 mts)",36,"Mediano",-68.8311557152,-32.8877781668,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"108",108,19883,"Paraiso sombrilla","29/06/2011 10:07","Alto (> 8 mts)",120,"Grande",-68.8348684662,-32.8628121721,4,"Cuarta Oeste",1173332.70145,0,"medio"
"109",109,1918,"Paraiso","18/11/2011 11:49","Bajo (2 - 4 mts)",45,"Mediano",-68.8597721369,-32.8717794447,7,"Residencial Parque",1786336.08966,0,"bajo"
"110",110,34161,"Morera","10/03/2011 12:57","Medio (4 - 8 mts)",60,"Mediano",-68.8568193316,-32.8730548655,6,"Residencial Norte",2694682.37982,0,"bajo"
"111",111,13930,"Jacarand","29/11/2011 12:26","Alto (> 8 mts)",78,"Grande",-68.8754973051,-32.8655358205,8,"Aeroparque",2203364.73622,0,"bajo"
"112",112,32086,"Fresno europeo","07/06/2011 13:37","Bajo (2 - 4 mts)",30,"Mediano",-68.8590640399,-32.8875359923,5,"Residencial Sur",2423808.92355,0,"bajo"
"113",113,24817,"Morera","18/02/2011 09:09","Alto (> 8 mts)",140,"Grande",-68.8399997111,-32.8968248196,2,"Barrio Civico",2366816.36021,1,"medio"
"114",114,12362,"Morera","13/01/2011 12:04","Medio (4 - 8 mts)",70,"Grande",-68.847519324,-32.8671197421,6,"Residencial Norte",2694682.37982,1,"bajo"
"115",115,32600,"Paraiso","23/06/2011 10:25","Alto (> 8 mts)",153,"Grande",-68.8514091866,-32.8901470874,5,"Residencial Sur",2423808.92355,0,"medio"
"116",116,19446,"Jacarand","08/08/2011 10:46","Medio (4 - 8 mts)",45,"Mediano",-68.8396723976,-32.8713287798,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"117",117,16429,"Paraiso","12/08/2011 10:16","Medio (4 - 8 mts)",55,"Mediano",-68.8420175838,-32.8643804188,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"118",118,43729,"Fresno americano","17/10/2011 17:09","Bajo (2 - 4 mts)",60,"Mediano",-68.8325283623,-32.8821922169,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"119",119,43413,"Morera","27/10/2011 12:51","Medio (4 - 8 mts)",160,"Grande",-68.8310601382,-32.8807370278,3,"Parque O'Higgins",1531146.02653,1,"medio"
"120",120,32729,"Morera","17/05/2011 13:08","Bajo (2 - 4 mts)",120,"Grande",-68.8533829812,-32.886604325,5,"Residencial Sur",2423808.92355,0,"medio"
"121",121,15569,"Paraiso","17/11/2011 16:22","Muy bajo (1 - 2 mts)",10,"Chico",-68.8610037264,-32.8712197948,7,"Residencial Parque",1786336.08966,0,"bajo"
"122",122,4454,"Morera","02/08/2011 09:48","Alto (> 8 mts)",138,"Grande",-68.8387510962,-32.8680569716,4,"Cuarta Oeste",1173332.70145,0,"medio"
"123",123,26323,"Pltano","20/10/2011 12:04","Alto (> 8 mts)",165,"Grande",-68.8318121873,-32.8900563011,3,"Parque O'Higgins",1531146.02653,0,"medio"
"124",124,23002,"Morera","24/06/2011 13:30","Alto (> 8 mts)",82,"Grande",-68.8571244636,-32.8994508136,5,"Residencial Sur",2423808.92355,1,"bajo"
"125",125,9282,"Morera","23/02/2011 09:13","Medio (4 - 8 mts)",52,"Mediano",-68.848351431,-32.8661319864,6,"Residencial Norte",2694682.37982,0,"bajo"
"126",126,5714,"Morera","04/05/2011 13:20","Bajo (2 - 4 mts)",18,"Chico",-68.8408756352,-32.8788590161,1,"Parque Central",1655357.93265,0,"bajo"
"127",127,39744,"Paraiso","02/05/2011 12:19","Alto (> 8 mts)",160,"Grande",-68.8460715525,-32.8799371428,1,"Parque Central",1655357.93265,0,"medio"
"128",128,14795,"Prunas","05/12/2011 18:20","Bajo (2 - 4 mts)",30,"Mediano",-68.8797497634,-32.8686424183,8,"Aeroparque",2203364.73622,0,"bajo"
"129",129,1245,"Paraiso","07/12/2011 10:31","Medio (4 - 8 mts)",130,"Grande",-68.8774595652,-32.8663745395,8,"Aeroparque",2203364.73622,1,"medio"
"130",130,43632,"Pltano","12/10/2011 14:43","Alto (> 8 mts)",170,"Grande",-68.8327986635,-32.8836487215,3,"Parque O'Higgins",1531146.02653,1,"medio"
"131",131,25154,"Jacarand","09/02/2011 18:40","Medio (4 - 8 mts)",38,"Mediano",-68.8361207578,-32.8980006471,2,"Barrio Civico",2366816.36021,0,"bajo"
"132",132,41151,"Morera","27/04/2011 18:15","Muy bajo (1 - 2 mts)",6,"Chico",-68.8386892467,-32.8824908399,1,"Parque Central",1655357.93265,0,"bajo"
"133",133,32201,"Fresno americano","10/05/2011 11:02","Bajo (2 - 4 mts)",80,"Grande",-68.8589163306,-32.8851851139,5,"Residencial Sur",2423808.92355,0,"bajo"
"134",134,14317,"Jacarand","06/12/2011 08:27","Muy bajo (1 - 2 mts)",16,"Chico",-68.877142569,-32.8674052262,8,"Aeroparque",2203364.73622,1,"bajo"
"135",135,29706,"Morera","02/03/2011 15:04","Alto (> 8 mts)",104,"Grande",-68.8424089828,-32.8935276009,2,"Barrio Civico",2366816.36021,0,"medio"
"136",136,28666,"Pltano","02/03/2011 09:41","Alto (> 8 mts)",195,"Grande",-68.8474494348,-32.8913505025,2,"Barrio Civico",2366816.36021,0,"medio"
"137",137,45719,"Morera","24/08/2011 11:57","Medio (4 - 8 mts)",150,"Grande",-68.8217093949,-32.8693844005,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"medio"
"138",138,26647,"Acacia SP","02/11/2011 09:46","Medio (4 - 8 mts)",110,"Grande",-68.8330411122,-32.8911861962,3,"Parque O'Higgins",1531146.02653,0,"medio"
"139",139,752,"Aguaribay","15/12/2011 08:16","Bajo (2 - 4 mts)",18,"Chico",-68.8803197919,-32.8664928489,8,"Aeroparque",2203364.73622,0,"bajo"
"140",140,3502,"Fresno europeo","25/08/2011 09:05","Medio (4 - 8 mts)",102,"Grande",-68.8241867908,-32.8684606749,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"medio"
"141",141,35366,"Caducifolio","21/06/2011 15:20","Bajo (2 - 4 mts)",26,"Mediano",-68.8543329769,-32.8827917268,5,"Residencial Sur",2423808.92355,0,"bajo"
"142",142,6871,"Fresno europeo","07/06/2011 10:27","Medio (4 - 8 mts)",90,"Grande",-68.858307134,-32.8950732796,5,"Residencial Sur",2423808.92355,0,"bajo"
"143",143,21440,"Prunas","10/05/2011 10:25","Medio (4 - 8 mts)",64,"Grande",-68.8557637109,-32.8932577012,5,"Residencial Sur",2423808.92355,0,"bajo"
"144",144,32426,"Paraiso","26/05/2011 12:01","Alto (> 8 mts)",180,"Grande",-68.8526177688,-32.888719796,5,"Residencial Sur",2423808.92355,0,"medio"
"145",145,20271,"Fresno europeo","17/05/2011 13:16","Alto (> 8 mts)",160,"Grande",-68.8590110274,-32.8932073932,5,"Residencial Sur",2423808.92355,0,"medio"
"146",146,30973,"Fresno europeo","10/02/2011 13:05","Bajo (2 - 4 mts)",66,"Grande",-68.8555916888,-32.8635387295,6,"Residencial Norte",2694682.37982,0,"bajo"
"147",147,45240,"Fresno americano","29/09/2011 11:36","Muy bajo (1 - 2 mts)",2,"Chico",-68.8233316864,-32.8733010948,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"bajo"
"148",148,25247,"Morera","08/02/2011 11:18","Alto (> 8 mts)",98,"Grande",-68.8394713341,-32.8987624078,2,"Barrio Civico",2366816.36021,0,"bajo"
"149",149,1944,"Fresno europeo","21/11/2011 12:32","Bajo (2 - 4 mts)",33,"Mediano",-68.8583525784,-32.8702871378,6,"Residencial Norte",2694682.37982,0,"bajo"
"150",150,40817,"Acacia SP","26/04/2011 17:06","Medio (4 - 8 mts)",66,"Grande",-68.8393267282,-32.8848382247,3,"Parque O'Higgins",1531146.02653,1,"bajo"
"151",151,45698,"Morera","26/08/2011 10:40","Alto (> 8 mts)",180,"Grande",-68.8219258335,-32.8701505176,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"medio"
"152",152,2323,"Fresno americano","02/11/2011 10:01","Medio (4 - 8 mts)",45,"Mediano",-68.835502612,-32.8950479831,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"153",153,32990,"Morera","19/05/2011 10:10","Alto (> 8 mts)",105,"Grande",-68.8522343848,-32.8872950219,5,"Residencial Sur",2423808.92355,0,"medio"
"154",154,45360,"Jacarand","16/09/2011 08:41","Medio (4 - 8 mts)",120,"Grande",-68.8235594687,-32.8733685041,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"medio"
